idx;result;table;_start;_stop;_time;_value;InstallationName;_field;_measurement
154;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T01:40:00Z;-19,15;acme;a;007955_0x40
155;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T01:50:00Z;-17,89;acme;a;007955_0x40
156;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T02:00:00Z;-12,86;acme;a;007955_0x40
157;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T02:10:00Z;-11,57;acme;a;007955_0x40
158;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T02:20:00Z;-18,61;acme;a;007955_0x40
159;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T02:30:00Z;-19,58;acme;a;007955_0x40
160;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T02:40:00Z;-18,76;acme;a;007955_0x40
161;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T02:50:00Z;-19,85;acme;a;007955_0x40
162;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T03:00:00Z;-18,72;acme;a;007955_0x40
163;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T03:10:00Z;-19,97;acme;a;007955_0x40
164;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T03:20:00Z;-18,69;acme;a;007955_0x40
165;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T03:30:00Z;-20,06;acme;a;007955_0x40
166;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T03:40:00Z;-19,17;acme;a;007955_0x40
167;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T03:50:00Z;-19,95;acme;a;007955_0x40
168;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T04:00:00Z;-18,83;acme;a;007955_0x40
169;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T04:10:00Z;-20,03;acme;a;007955_0x40
170;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-02T04:20:00Z;-18,72;acme;a;007955_0x40
